order_number,order_date,customer_name,channel,product_name,quantity,unit_price,revenue,cost,state,state_name,us_region,lat,lon,budget,total_cost,profit,profit_margin_pct,order_month_name,order_month_num,order_month
SO - 000225,2014-01-01,Rhynoodle Ltd,Wholesale,Product 27,6,2499.1,14994.599999999999,1824.3429999999998,GA,Georgia,South,32.08354,-81.09983,,10946.057999999999,4048.5419999999995,27.0,January,1,2014-01
SO - 0003378,2014-01-01,Thoughtmix Ltd,Distributor,Product 20,11,2351.7000000000003,25868.700000000004,1269.9180000000001,IN,Indiana,Midwest,39.61366,-86.10665,,13969.098000000002,11899.602000000003,46.0,January,1,2014-01
SO - 0005126,2014-01-01,Amerisourc Corp,Wholesale,Product 26,6,978.2,5869.200000000001,684.74,CA,California,West,37.66243,-121.87468,,4108.4400000000005,1760.7600000000002,30.0,January,1,2014-01
SO - 0005614,2014-01-01,Colgate-Pa Group,Export,Product 7,7,2338.3,16368.100000000002,1028.852,IN,Indiana,Midwest,39.16533,-86.52639,,7201.964000000001,9166.136000000002,56.00000000000001,January,1,2014-01
SO - 0005781,2014-01-01,Deseret Group,Wholesale,Product 8,8,2291.4,18331.2,1260.2700000000002,CT,Connecticut,Northeast,41.77524,-72.52443,,10082.160000000002,8249.039999999999,44.99999999999999,January,1,2014-01
SO - 0010394,2014-01-01,Zoovu Corp,Export,Product 23,11,5219.3,57412.3,4332.019,MN,Minnesota,Midwest,44.9133,-93.50329,,47652.209,9760.091,17.0,January,1,2014-01
SO - 0008865,2014-01-01,Kare Corp,Wholesale,Product 1,7,2874.3,20120.100000000002,1667.094,MA,Massachusetts,Northeast,42.32385,-71.142,,11669.658,8450.442000000003,42.00000000000001,January,1,2014-01
SO - 0009909,2014-01-01,State Ltd,Wholesale,Product 25,10,1045.2,10452.0,679.3800000000001,CA,California,West,34.05529,-117.75228,,6793.800000000001,3658.199999999999,34.99999999999999,January,1,2014-01
SO - 0001912,2014-01-01,Lazzy Group,Wholesale,Product 13,5,3852.5,19262.5,2966.425,UT,Utah,West,40.56217,-111.92966,,14832.125,4430.375,23.0,January,1,2014-01
SO - 0002683,2014-01-01,Zooveo Company,Export,Product 14,12,2914.5,34974.0,1311.525,NC,North Carolina,South,36.07613,-79.4683,,15738.300000000001,19235.699999999997,54.99999999999999,January,1,2014-01
SO - 0004272,2014-01-01,Nexus Group,Wholesale,Product 26,11,2257.9,24836.9,1196.6870000000001,IN,Indiana,Midwest,39.11904,-86.51979,,13163.557,11673.343,47.0,January,1,2014-01
SO - 0004580,2014-01-01,Jayo Company,Export,Product 4,5,1232.8,6164.0,628.728,IL,Illinois,Midwest,41.76346,-88.2901,,3143.64,3020.36,49.00000000000001,January,1,2014-01
SO - 0004646,2014-01-01,Jabbercube Corp,Wholesale,Product 25,5,3859.2000000000003,19296.0,2855.808,CA,California,West,33.72058,-116.21556,,14279.04,5016.959999999999,25.999999999999996,January,1,2014-01
SO - 0007608,2014-01-01,Eire Corp,Distributor,Product 15,10,1983.2,19832.0,1606.392,OH,Ohio,Midwest,39.75895,-84.19161,,16063.92,3768.08,19.0,January,1,2014-01
SO - 0007951,2014-01-01,Muxo Group,Distributor,Product 3,7,167.5,1172.5,135.675,IL,Illinois,Midwest,41.94151,-88.321,,949.7250000000001,222.77499999999986,18.99999999999999,January,1,2014-01
SO - 0001068,2014-01-01,Fatz Group,Export,Product 10,11,924.6,10170.6,656.466,NY,New York,Northeast,40.71258,-73.19552,,7221.126,2949.474,28.999999999999996,January,1,2014-01
SO - 0002010,2014-01-01,WOCKHARDT Group,Distributor,Product 11,11,1045.2,11497.2,543.504,MI,Michigan,Midwest,42.71434,-84.55928,,5978.544,5518.656000000001,48.00000000000001,January,1,2014-01
SO - 0002504,2014-01-01,Colgate-Pa Group,Export,Product 27,11,1976.5,21741.5,790.6,PA,Pennsylvania,Northeast,40.44062,-79.99589,,8696.6,13044.9,60.0,January,1,2014-01
SO - 0009931,2014-01-01,sanofi-ave Group,Wholesale,Product 13,6,6525.8,39154.8,3589.1900000000005,AZ,Arizona,West,33.37032,-112.58378,,21535.140000000003,17619.66,44.99999999999999,January,1,2014-01
